Name,Age,G,PA,HR,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC,BsR,Off,Def,WAR
Freddie Freeman,30,60,262,13,2,0.172,0.141,0.299,0.366,0.341,0.462,0.64,0.456,187,-0.3,28.8,-1.3,3.4
Marcell Ozuna,29,60,267,18,0,0.142,0.225,0.298,0.391,0.338,0.431,0.636,0.444,179,-0.2,26.8,-7.8,2.5
Ronald Acuna Jr.,22,46,202,14,8,0.188,0.297,0.331,0.302,0.25,0.406,0.581,0.413,159,2.2,17.4,2,2.4
Dansby Swanson,26,60,264,10,5,0.083,0.269,0.19,0.35,0.274,0.345,0.464,0.348,116,4.2,9.6,2.8,1.9
Travis d'Arnaud,31,44,184,9,1,0.087,0.272,0.212,0.411,0.321,0.386,0.533,0.392,145,-2.2,8.4,3.5,1.6
Ozzie Albies,23,29,124,6,3,0.04,0.242,0.195,0.317,0.271,0.306,0.466,0.329,103,1.3,1.8,1.1,0.6
Adam Duvall,31,57,209,16,0,0.072,0.258,0.295,0.24,0.237,0.301,0.532,0.348,116,0.6,4.8,-4.9,0.5
Tyler Flowers,34,22,80,1,0,0.1,0.425,0.13,0.412,0.217,0.325,0.348,0.303,86,0,-1.4,3.3,0.4
William Contreras,22,4,10,0,0,0,0.4,0.1,0.667,0.4,0.4,0.5,0.389,143,-0.1,0.4,0.2,0.1
Pablo Sandoval,33,1,4,0,0,0.5,0.25,0,0,0,0.5,0,0.349,117,0.1,0.2,0,0
Jhoulys Chacin,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren O'Day,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Melancon,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Hamels,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Milone,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Smith,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Tomlin,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rusin,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Matzek,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Erlin,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Greene,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Foltynewicz,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Dayton,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Jackson,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Martin,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Fried,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touki Toussaint,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Newcomb,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Sobotka,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Weigel,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Soroka,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Minter,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Webb,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Wright,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tucker Davidson,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Anderson,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryse Wilson,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huascar Ynoa,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Schebler,29,1,1,0,0,0,0,0,0,0,0,0,0,-100,0,-0.3,0,0
Alex Jackson,24,5,7,0,0,0,0.571,0.143,0.667,0.286,0.286,0.429,0.303,86,-0.6,-0.7,0.2,0
Charlie Culberson,31,10,7,0,0,0,0.571,0.143,0.333,0.143,0.143,0.286,0.177,3,0.1,-0.8,-0.1,-0.1
Cristian Pache,21,2,4,0,0,0,0.5,0,0.5,0.25,0.25,0.25,0.221,32,0,-0.4,-0.5,-0.1
Austin Riley,23,51,206,8,0,0.078,0.238,0.176,0.28,0.239,0.301,0.415,0.307,89,-0.4,-3.5,-3.4,-0.1
Johan Camargo,26,35,127,4,0,0.047,0.276,0.167,0.247,0.2,0.244,0.367,0.262,59,0.7,-5.9,0.3,-0.2
Adeiny Hechavarria,31,27,63,0,0,0.063,0.19,0.051,0.319,0.254,0.302,0.305,0.271,65,0.4,-2.3,-1.5,-0.2
Nick Markakis,36,37,141,1,0,0.071,0.163,0.138,0.302,0.254,0.312,0.392,0.307,89,-2.1,-4.2,-3.7,-0.4
Matt Adams,31,16,51,2,0,0.039,0.353,0.163,0.241,0.184,0.216,0.347,0.24,45,-1.4,-5,-1.3,-0.5
Ender Inciarte,29,46,131,1,4,0.092,0.191,0.06,0.228,0.19,0.262,0.25,0.233,40,1.4,-8.7,-0.8,-0.6
