Name,Age,G,PA,HR,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC,BsR,Off,Def,WAR
Mookie Betts,27,55,246,16,10,0.098,0.154,0.269,0.289,0.292,0.366,0.562,0.39,149,3.3,18.6,3.1,3
Corey Seager,26,52,232,15,1,0.073,0.159,0.278,0.309,0.307,0.358,0.585,0.394,151,-1.8,13.5,-2.5,1.9
Chris Taylor,29,56,214,8,3,0.121,0.257,0.205,0.344,0.27,0.366,0.476,0.364,131,-0.9,7.8,-0.4,1.5
Justin Turner,35,42,175,4,1,0.103,0.149,0.153,0.347,0.307,0.4,0.46,0.376,140,-0.5,8.4,-1.3,1.3
Will Smith,25,37,137,8,0,0.146,0.161,0.289,0.294,0.289,0.401,0.579,0.411,163,-1.3,9.6,-1.4,1.3
Cody Bellinger,24,56,243,12,6,0.123,0.173,0.216,0.245,0.239,0.333,0.455,0.337,114,0.5,4.9,-0.9,1.2
A.J. Pollock,32,55,210,16,2,0.057,0.214,0.291,0.277,0.276,0.314,0.566,0.364,132,-2,6.6,-3.9,1
Austin Barnes,30,29,104,1,3,0.125,0.231,0.07,0.323,0.244,0.353,0.314,0.306,94,1.7,0.9,4.2,0.9
Edwin Rios,26,32,83,8,0,0.048,0.217,0.395,0.216,0.25,0.301,0.645,0.385,145,-0.6,4.2,-1.4,0.6
Max Muncy,29,58,248,12,1,0.157,0.242,0.197,0.203,0.192,0.331,0.389,0.316,100,-0.4,-0.3,-4.3,0.4
Keibert Ruiz,21,2,8,1,0,0,0.375,0.375,0.25,0.25,0.25,0.625,0.358,128,0,0.3,0.1,0.1
Zach McKinstry,25,4,7,0,0,0,0.429,0.143,0.5,0.286,0.286,0.429,0.303,92,-0.2,-0.3,0.1,0
Clayton Kershaw,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenley Jansen,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Baez,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake McGee,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Kelly,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Alexander,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Treinen,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Stripling,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Floro,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Wood,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Urias,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Gonzalez,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Santana,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Sborz,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell White,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Ferguson,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walker Buehler,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Gonsolin,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin May,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brusdar Graterol,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Kolarek,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Gore,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0
Joc Pederson,28,43,138,7,1,0.08,0.246,0.207,0.2,0.19,0.285,0.397,0.297,88,-2.1,-4.2,-1.4,-0.1
Enrique Hernandez,28,48,148,5,0,0.041,0.209,0.18,0.26,0.23,0.27,0.41,0.29,83,-1.1,-4.4,-2,-0.1
Matt Beaty,27,21,54,2,0,0.037,0.259,0.14,0.265,0.22,0.278,0.36,0.28,76,-0.6,-2.3,-1.2,-0.1
Gavin Lux,22,19,69,3,1,0.087,0.275,0.175,0.195,0.175,0.246,0.349,0.259,63,0.9,-2.4,-1.9,-0.2
