Name,Age,G,PA,HR,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC,BsR,Off,Def,WAR
Brandon Lowe,25,56,224,14,3,0.112,0.259,0.285,0.309,0.269,0.362,0.554,0.385,150,2.9,16.7,1.4,2.3
Willy Adames,24,54,205,8,2,0.098,0.361,0.222,0.388,0.259,0.332,0.481,0.347,124,2,8.1,1.4,1.5
Kevin Kiermaier,30,49,159,3,8,0.126,0.264,0.145,0.29,0.217,0.321,0.362,0.301,93,2.2,0.8,8.3,1.3
Mike Brosseau,26,37,98,5,2,0.082,0.316,0.256,0.412,0.302,0.378,0.558,0.394,157,-0.6,6.3,2.3,1.1
Joey Wendle,30,50,184,4,8,0.054,0.19,0.149,0.338,0.286,0.342,0.435,0.335,116,1.4,4.9,0.4,1
Randy Arozarena,25,23,76,7,4,0.079,0.289,0.359,0.306,0.281,0.382,0.641,0.422,176,0.7,7.8,-1.7,0.8
Yandy Diaz,28,34,138,2,0,0.167,0.123,0.079,0.347,0.307,0.428,0.386,0.367,138,-2.6,3.8,0.4,0.8
Manuel Margot,25,47,159,1,12,0.082,0.157,0.083,0.317,0.269,0.327,0.352,0.301,92,1.5,0,1.8,0.6
Yoshitomo Tsutsugo,28,51,185,8,0,0.141,0.27,0.197,0.23,0.197,0.314,0.395,0.309,98,0,-0.5,-1.2,0.3
Ji-Man Choi,29,42,145,3,0,0.138,0.248,0.18,0.291,0.23,0.331,0.41,0.316,103,0.5,1,-2.1,0.3
Brett Phillips,26,17,25,1,3,0.2,0.28,0.25,0.167,0.15,0.32,0.4,0.317,103,0.7,0.8,0.7,0.2
Nate Lowe,24,21,76,4,1,0.118,0.368,0.209,0.314,0.224,0.316,0.433,0.314,101,0.2,0.4,-0.9,0.1
Kevan Smith,32,17,38,1,0,0.132,0.289,0.194,0.368,0.258,0.378,0.452,0.363,135,0.1,1.7,-1.8,0.1
Brian O'Grady,28,2,5,0,1,0,0.2,0.2,0.5,0.4,0.4,0.6,0.424,177,0.2,0.7,0,0.1
Jose Martinez,31,24,76,2,0,0.118,0.263,0.149,0.311,0.239,0.329,0.388,0.311,99,-0.2,-0.2,-1.4,0
Charlie Morton,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Drake,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaz Roe,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Loup,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sherriff,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Gilmartin,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Kittredge,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Snell,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Glasnow,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Banda,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Slegers,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Reed,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Curtiss,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yonny Chirinos,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Yarbrough,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Thompson,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Beeks,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Castillo,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Fairbanks,26,27,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Nick Anderson,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar Garcia,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Richards,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Fleming,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Zunino,29,28,84,4,0,0.071,0.44,0.213,0.206,0.147,0.238,0.36,0.261,65,-0.3,-4,1.7,0
Austin Meadows,25,36,152,4,2,0.112,0.329,0.167,0.288,0.205,0.296,0.371,0.292,86,-0.4,-3,-3,-0.2
Hunter Renfroe,28,42,139,8,2,0.101,0.266,0.238,0.141,0.156,0.252,0.393,0.277,76,-0.3,-4.3,-3.2,-0.4
Michael Perez,27,38,93,1,0,0.075,0.29,0.071,0.228,0.167,0.237,0.238,0.217,35,-2.6,-10,2.5,-0.5
